movieId,genres
91511,romance
91535,sci_fi
91542,mystery
91797,romance
91826,drama
91886,drama
91888,fantasy
91911,drama
91976,romance
92198,thriller
92206,thriller
92210,fantasy
92224,drama
92234,war
92243,war
92352,romance
92391,horror
92475,war
92507,thriller
92652,documentary
92768,comedy
93132,children
93181,romance
93183,drama
93196,comedy
93344,sci_fi
93367,romance
93475,thriller
93496,romance
93520,sci_fi
93563,sci_fi
93570,drama
93831,thriller
93840,horror
93865,drama
93982,thriller
94070,romance
94271,sci_fi
94289,comedy
94365,romance
94444,comedy
94666,romance
94727,drama
94729,war
94790,romance
94810,sci_fi
94933,drama
94982,romance
95214,romance
95352,drama
95461,romance
95543,sci_fi
95558,romance
95765,drama
95839,drama
95858,children
96034,mystery
96195,drama
96401,drama
96419,drama
96421,drama
96471,thriller
96588,romance
96596,sci_fi
96634,romance
96700,romance
96751,romance
96815,horror
96832,mystery
96870,drama
96923,thriller
97024,romance
97031,horror
97070,drama
97230,documentary
97308,romance
97324,drama
97393,drama
97460,romance
97673,romance
97792,thriller
97906,comedy
97936,romance
97957,comedy
97971,romance
98296,romance
98373,romance
98807,romance
99043,drama
99296,thriller
99314,romance
99317,romance
99397,sci_fi
99448,sci_fi
99487,thriller
99739,comedy
99941,comedy
100244,romance
100248,fantasy
100302,romance
100326,thriller
100390,thriller
100450,thriller
100556,documentary
101016,drama
101088,mystery
101182,sci_fi
101264,romance
101283,comedy
101362,thriller
101763,romance
101967,sci_fi
102088,war
102125,sci_fi
102176,sci_fi
102194,drama
102280,romance
102497,drama
102684,thriller
102716,thriller
102991,mystery
103228,sci_fi
103366,thriller
103481,horror
103554,thriller
103590,sci_fi
103624,drama
103801,romance
103810,thriller
103834,romance
103996,romance
104011,romance
104017,sci_fi
104041,sci_fi
104069,comedy
104226,romance
104241,sci_fi
104245,romance
104247,drama
104303,drama
104627,romance
104638,sci_fi
104908,mystery
104944,thriller
104969,drama
105135,thriller
105379,sci_fi
105382,drama
105746,drama
105767,drama
105801,romance
105805,thriller
106098,drama
106193,romance
106210,mystery
106240,romance
106332,drama
106616,comedy
106766,comedy
107042,comedy
107050,romance
107083,drama
107117,drama
107143,drama
107196,musical
107357,drama
107501,drama
107730,documentary
107737,sci_fi
107955,thriller
107962,drama
108007,drama
108190,romance
108425,thriller
108512,comedy
108729,mystery
108928,thriller
109042,romance
109191,fantasy
109313,drama
109317,romance
109533,drama
109793,sci_fi
109800,comedy
109897,drama
110039,sci_fi
110273,war
110447,comedy
110553,sci_fi
110599,drama
110613,drama
110669,fantasy
110884,documentary
110899,thriller
111233,thriller
111283,romance
111403,drama
111617,romance
111659,fantasy
111680,romance
112070,romance
112093,drama
112328,drama
112623,sci_fi
112640,sci_fi
112733,drama
113064,comedy
113773,drama
113855,drama
114044,drama
114236,documentary
114252,drama
114762,romance
114836,fantasy
114852,drama
115135,drama
115770,comedy
115881,sci_fi
116797,war
116897,thriller
117887,comedy
118696,fantasy
119167,fantasy
119575,drama
119655,fantasy
120104,drama
120110,drama
120466,sci_fi
120625,thriller
120775,romance
121342,drama
125918,comedy
126591,fantasy
127993,fantasy
128671,drama
